action.update; Update; Opdater; {alfresco/site-webscripts/org/alfresco/components/discussions/replies.get.properties}action.update;;;
action.update; Update; Opdater; {alfresco/site-webscripts/org/alfresco/components/blog/postedit.get.properties}action.update;;;
action.update; Update; Opdater; {alfresco/site-webscripts/org/alfresco/modules/blog/comments/edit-comment.get.properties}action.update;;;
action.updateIntAndExt; Update Internally and Externally; Opdater internt og eksternt; {alfresco/site-webscripts/org/alfresco/components/blog/postedit.get.properties}action.updateIntAndExt;;;
action.updateIntAndPublishExt; Update Internally and Publish Externally; Opdater internt og publicer eksternt; {alfresco/site-webscripts/org/alfresco/components/blog/postedit.get.properties}action.updateIntAndPublishExt;;;
action.updateexternal; Update Externally; Opdateret eksternt; {alfresco/site-webscripts/org/alfresco/components/links/linksview.get.properties}action.updateexternal;;;
action.updateexternal; Update Externally; Opdateret eksternt; {alfresco/site-webscripts/org/alfresco/components/blog/postlist.get.properties}action.updateexternal;;;
action.updateexternal; Update Externally; Opdateret eksternt; {alfresco/site-webscripts/org/alfresco/components/blog/postview.get.properties}action.updateexternal;;;
action.view; View; Vis; {alfresco/site-webscripts/org/alfresco/components/discussions/topiclist.get.properties}action.view;;;
actions.delete-row; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/data-lists/datagrid.get.properties}actions.delete-row;;;
actions.document.assign-workflow; Start Workflow; Start workflow; {alfresco/messages/slingshot.properties}actions.document.assign-workflow;;;
actions.document.cancel-editing; Cancel Editing; Annuller redigering; {alfresco/messages/slingshot.properties}actions.document.cancel-editing;;;
actions.document.cancel-editing-unlock; Unlock document;Lås dokument op; {alfresco/messages/slingshot.properties}actions.document.cancel-editing-unlock;;;
actions.document.change-type; Change Type; \u00c6ndre type; {alfresco/messages/slingshot.properties}actions.document.change-type;;;
actions.document.cloud-sync; Sync to Cloud; Synkroniser til skyen; {alfresco/messages/slingshot.properties}actions.document.cloud-sync;;;
actions.document.cloud-unsync; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/messages/slingshot.properties}actions.document.cloud-unsync;;;
actions.document.copy-to; Copy to...; Kopier til...; {alfresco/messages/slingshot.properties}actions.document.copy-to;;;
actions.document.delete; Delete Document; Slet dokument; {alfresco/messages/slingshot.properties}actions.document.delete;;;
actions.document.download; Download; Hent; {alfresco/messages/slingshot.properties}actions.document.download;;;
actions.document.download-again; Download; Hent; {alfresco/messages/slingshot.properties}actions.document.download-again;;;
actions.document.download-original; Download Original; Hent original; {alfresco/messages/slingshot.properties}actions.document.download-original;;;
actions.document.edit-metadata; Edit Properties; Rediger egenskaber; {alfresco/messages/slingshot.properties}actions.document.edit-metadata;;;
actions.document.edit-offline; Edit Offline; Rediger offline; {alfresco/messages/slingshot.properties}actions.document.edit-offline;;;
actions.document.edit-online; Edit in Microsoft Office\u2122; Ret online; {alfresco/messages/slingshot.properties}actions.document.edit-online;;;
actions.document.execute-script; Execute Script; K\u00f8r Script; {alfresco/messages/slingshot.properties}actions.document.execute-script;;;
actions.document.extract-metadata; Extract Metadata; Udtr\u00e6k metadata; {alfresco/messages/slingshot.properties}actions.document.extract-metadata;;;
actions.document.increment-counter; Increment Counter; \u00d8g t\u00e6ller; {alfresco/messages/slingshot.properties}actions.document.increment-counter;;;
actions.document.inline-edit; Edit in Alfresco; Indlejret redigering; {alfresco/messages/slingshot.properties}actions.document.inline-edit;;;
actions.document.locate; Locate File; Find fil; {alfresco/messages/slingshot.properties}actions.document.locate;;;
actions.document.manage-aspects; Manage Aspects; Styr aspekter; {alfresco/messages/slingshot.properties}actions.document.manage-aspects;;;
actions.document.manage-permissions; Manage Permissions; Styr rettigheder; {alfresco/messages/slingshot.properties}actions.document.manage-permissions;;;
actions.document.move-to; Move to...; Flyt til...; {alfresco/messages/slingshot.properties}actions.document.move-to;;;
actions.document.publish; Publish; Udgiv; {alfresco/messages/slingshot.properties}actions.document.publish;;;
actions.document.publish-content; Publish Content; Udgiv indhold; {alfresco/messages/slingshot.properties}actions.document.publish-content;;;
actions.document.request-sync; Request Sync; Foresp\u00f8rg p\u00e5 synkronisering; {alfresco/messages/slingshot.properties}actions.document.request-sync;;;
actions.document.simple-approve; Approve; Godkend; {alfresco/messages/slingshot.properties}actions.document.simple-approve;;;
actions.document.simple-reject; Reject; Afvis; {alfresco/messages/slingshot.properties}actions.document.simple-reject;;;
actions.document.take-ownership; Become Owner;Bliv ejer; {alfresco/messages/slingshot.properties}actions.document.take-ownership;;;
actions.document.transform; Transform; Transformer; {alfresco/messages/slingshot.properties}actions.document.transform;;;
actions.document.transform-image; Transform to Image; Transformer til billede; {alfresco/messages/slingshot.properties}actions.document.transform-image;;;
actions.document.unzip-to; Unzip to...;Udpak til...; {alfresco/messages/slingshot.properties}actions.document.unzip-to;;;
actions.document.upload-new-version; Upload New Version; Overf\u00f8r ny version; {alfresco/messages/slingshot.properties}actions.document.upload-new-version;;;
actions.document.view; View In Browser; Vis i browser; {alfresco/messages/slingshot.properties}actions.document.view;;;
actions.document.view-google-map; View on Google Maps; Vis p\u00e5 Google Maps; {alfresco/messages/slingshot.properties}actions.document.view-google-map;;;
actions.document.view-in-cloud; View in Cloud; Vis i skyen; {alfresco/messages/slingshot.properties}actions.document.view-in-cloud;;;
actions.document.view-original; View Original Document; Vis original dokument; {alfresco/messages/slingshot.properties}actions.document.view-original;;;
actions.document.view-source-repository; View in Source Repository; Vis i kilde arkiv; {alfresco/messages/slingshot.properties}actions.document.view-source-repository;;;
actions.document.view-working-copy; View Working Copy; Vis arbejdskopi; {alfresco/messages/slingshot.properties}actions.document.view-working-copy;;;
actions.duplicate-row; Duplicate; Dublet; {alfresco/site-webscripts/org/alfresco/components/data-lists/datagrid.get.properties}actions.duplicate-row;;;
actions.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/data-lists/datagrid.get.properties}actions.edit;;;
actions.editOnline.failure; The file ''{0}'' could not be opened for online editing. One of the following plugins required to be; Filen ''{0}'' kunne ikke \u00e5bnes for online redigering. En af de f\u00f8lgende tilf\u00f8jelser e; {alfresco/messages/slingshot.properties}actions.editOnline.failure;;;
actions.editOnline.invalid; The file ''{0}'' could not be edited online because its path contains characters that are not permit; Filen''{0}'' kunne ikke redigeres online fordi stien indeholder tegn som SPP modulet ikke underst\u0; {alfresco/messages/slingshot.properties}actions.editOnline.invalid;;;
actions.folder.change-type; Change Type; \u00c6ndre type; {alfresco/messages/slingshot.properties}actions.folder.change-type;;;
actions.folder.cloud-sync; Sync to Cloud; Synkroniser til skyen; {alfresco/messages/slingshot.properties}actions.folder.cloud-sync;;;
actions.folder.cloud-unsync; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/messages/slingshot.properties}actions.folder.cloud-unsync;;;
actions.folder.copy-to; Copy to...; Kopier til...; {alfresco/messages/slingshot.properties}actions.folder.copy-to;;;
actions.folder.delete; Delete Folder; Slet mappe; {alfresco/messages/slingshot.properties}actions.folder.delete;;;
actions.folder.download; Download as Zip; Hent som Zip; {alfresco/messages/slingshot.properties}actions.folder.download;;;
actions.folder.edit-metadata; Edit Properties; Rediger egenskaber; {alfresco/messages/slingshot.properties}actions.folder.edit-metadata;;;
actions.folder.locate; Locate Folder; Find mappe; {alfresco/messages/slingshot.properties}actions.folder.locate;;;
actions.folder.manage-aspects; Manage Aspects; Styr aspekter; {alfresco/messages/slingshot.properties}actions.folder.manage-aspects;;;
actions.folder.manage-permissions; Manage Permissions; Styr rettigheder; {alfresco/messages/slingshot.properties}actions.folder.manage-permissions;;;
actions.folder.move-to; Move to...; Flyt til...; {alfresco/messages/slingshot.properties}actions.folder.move-to;;;
actions.folder.rules; Manage Rules; Styr regler; {alfresco/messages/slingshot.properties}actions.folder.rules;;;
