button.selectFiles; Select files to upload; V\u00e6lg filer at overf\u00f8re; {alfresco/site-webscripts/org/alfresco/components/upload/dnd-upload.get.properties}button.selectFiles;;;
button.setDefaultView;" Set ""{0}"" as default for this folder";" S\u00e6t ""{0}"" som standard for denne mappe"; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}button.setDefaultView;;;
button.setDefaultView;" Set ""{0}"" as default for this folder";" S\u00e6t ""{0}"" som standard for denne mappe"; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}button.setDefaultView;;;
button.setDefaultView;" Set ""{0}"" as default for this folder";" S\u00e6t ""{0}"" som standard for denne mappe"; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}button.setDefaultView;;;
button.setDefaultView;" Set ""{0}"" as default for this folder";" S\u00e6t ""{0}"" som standard for denne mappe"; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}button.setDefaultView;;;
button.shared; Shared Files; Delte dokumenter; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/global-folder.get.properties}button.shared;;;
button.showLayouts; Change Layout; \u00c6ndre layout; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-layout.get.properties}button.showLayouts;;;
button.sidebar; Toggle Sidebar; Vis/Skjul sidebar; {alfresco/site-webscripts/org/alfresco/modules/preview/pdfjs.get.properties}button.sidebar;;;
button.site; All Sites; Alle Sites; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/global-folder.get.properties}button.site;;;
button.site-delete.label; Delete Site; Slet site; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/manage-sites.get.properties}button.site-delete.label;;;
button.site-manage.label; Become Site Manager; Bliv siteadministrator; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/manage-sites.get.properties}button.site-manage.label;;;
button.sort-by; Sort by: {0}; Sorteret efter: {0}; {alfresco/site-webscripts/org/alfresco/components/console/repository/replication-jobs.get.properties}button.sort-by;;;
button.sort.ascending; Sort Ascending; Sorter stigende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}button.sort.ascending;;;
button.sort.ascending; Sort Ascending; Sorter stigende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}button.sort.ascending;;;
button.sort.ascending; Sort Ascending; Sorter stigende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist.get.properties}button.sort.ascending;;;
button.sort.ascending; Sort Ascending; Sorter stigende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}button.sort.ascending;;;
button.sort.ascending; Sort Ascending; Sorter stigende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}button.sort.ascending;;;
button.sort.descending; Sort Descending; Sorter faldende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}button.sort.descending;;;
button.sort.descending; Sort Descending; Sorter faldende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}button.sort.descending;;;
button.sort.descending; Sort Descending; Sorter faldende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist.get.properties}button.sort.descending;;;
button.sort.descending; Sort Descending; Sorter faldende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}button.sort.descending;;;
button.sort.descending; Sort Descending; Sorter faldende; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}button.sort.descending;;;
button.ssd-reassign.applyFilter.label; Apply Filter;Anvend filter; {alfresco/site-webscripts/org/alfresco/components/console/cloud-sync-management.get.properties}button.ssd-reassign.applyFilter.label;;;
button.ssd-reassign.cancel-label; Cancel;Annuller; {alfresco/site-webscripts/org/alfresco/components/console/cloud-sync-management.get.properties}button.ssd-reassign.cancel-label;;;
button.ssd-reassign.confirm-label; Become Owner;Bliv ejer; {alfresco/site-webscripts/org/alfresco/components/console/cloud-sync-management.get.properties}button.ssd-reassign.confirm-label;;;
button.ssd-reassign.exportCSV.label; Export;Eksporter; {alfresco/site-webscripts/org/alfresco/components/console/cloud-sync-management.get.properties}button.ssd-reassign.exportCSV.label;;;
button.ssd-reassign.label; Become Owner;Bliv ejer; {alfresco/site-webscripts/org/alfresco/components/console/cloud-sync-management.get.properties}button.ssd-reassign.label;;;
button.startWorkflow; Start Workflow; Start workflow; {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-list-toolbar.get.properties}button.startWorkflow;;;
button.startWorkflow; Start Workflow; Start workflow; {alfresco/site-webscripts/org/alfresco/components/workflow/task-list-toolbar.get.properties}button.startWorkflow;;;
button.startWorkflow; Start Workflow; Start workflow; {alfresco/site-webscripts/org/alfresco/components/workflow/start-workflow.get.properties}button.startWorkflow;;;
button.sync-to-cloud; Sync to Cloud; Synkroniser til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}button.sync-to-cloud;;;
button.sync-to-cloud; Sync to Cloud; Synkroniser til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}button.sync-to-cloud;;;
button.sync-to-cloud; Sync to Cloud; Synkroniser til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/toolbar.get.properties}button.sync-to-cloud;;;
button.sync-to-cloud; Sync to Cloud; Synkroniser til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}button.sync-to-cloud;;;
button.sync-to-cloud; Sync to Cloud; Synkroniser til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}button.sync-to-cloud;;;
button.take-ownership; OK;OK; {alfresco/messages/slingshot.properties}button.take-ownership;;;
button.this-month; This Month; Denne m\u00e5ned; {alfresco/site-webscripts/org/alfresco/components/calendar/calendar.get.properties}button.this-month;;;
button.today; Today; I dag; {alfresco/site-webscripts/org/alfresco/components/calendar/toolbar.get.properties}button.today;;;
button.undo; Undo; Fortryd; {alfresco/messages/slingshot.properties}button.undo;;;
button.unfollow; Unfollow; Stop med at f\u00f8lge; {alfresco/messages/slingshot.properties}button.unfollow;;;
button.unlink; Unlink; Fjern link; {alfresco/site-webscripts/org/alfresco/components/rules/rules-linked.get.properties}button.unlink;;;
button.unsync; Remove sync; Fjern synkronisering; {alfresco/messages/slingshot.properties}button.unsync;;;
button.unsync; Unsync; Fjern synkronisering; {alfresco/site-webscripts/org/alfresco/modules/cloud/cloud-sync-status.get.properties}button.unsync;;;
button.unsync-from-cloud; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}button.unsync-from-cloud;;;
button.unsync-from-cloud; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}button.unsync-from-cloud;;;
button.unsync-from-cloud; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/toolbar.get.properties}button.unsync-from-cloud;;;
button.unsync-from-cloud; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}button.unsync-from-cloud;;;
button.unsync-from-cloud; Unsync from Cloud; Fjern synkronisering til skyen; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}button.unsync-from-cloud;;;
button.up; Up; Op; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}button.up;;;
button.up; Up; Op; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}button.up;;;
button.up; Up; Op; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/toolbar.get.properties}button.up;;;
button.up; Up; Op; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}button.up;;;
button.up; Up; Op; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}button.up;;;
button.up; Up; Op; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo-toolbar.get.properties}button.up;;;
button.update; Update; Opdater; {alfresco/messages/slingshot.properties}button.update;;;
button.updategroup; Edit Group; Rediger gruppe; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}button.updategroup;;;
button.upload; Upload; Overf\u00f8r; {alfresco/messages/slingshot.properties}button.upload;;;
button.upload; Upload File(s); Overf\u00f8r fil(er); {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}button.upload;;;
button.upload; Upload File; Overf\u00f8r fil; {alfresco/site-webscripts/org/alfresco/components/upload/html-upload.get.properties}button.upload;;;
button.uploaduser; Upload User CSV File; Overf\u00f8r bruger kommasepareret fil; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/users.get.properties}button.uploaduser;;;
button.useCurrent; Cancel; Annuller; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-layout.get.properties}button.useCurrent;;;
button.useTemplate; Use Template; Brug skabelon; {alfresco/site-webscripts/org/alfresco/modules/email-form.get.properties}button.useTemplate;;;
button.usedefault; Use Default; Brug standardv\u00e6rdi; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}button.usedefault;;;
button.usedefault; Use Default; Brug standardv\u00e6rdi; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/users.get.properties}button.usedefault;;;
button.usedefault; Use Default; Brug standardv\u00e6rdi; {alfresco/site-webscripts/org/alfresco/components/profile/userprofile.get.properties}button.usedefault;;;
button.view; View Rule Set; Vis regels\u00e6t; {alfresco/site-webscripts/org/alfresco/components/rules/rules-linked.get.properties}button.view;;;
button.view-report.local; View Local Report; Vis lokalrapport; {alfresco/site-webscripts/org/alfresco/components/console/repository/replication-jobs.get.properties}button.view-report.local;;;
button.view-report.remote; View Remote Report; Vis fjernrapport; {alfresco/site-webscripts/org/alfresco/components/console/repository/replication-jobs.get.properties}button.view-report.remote;;;
button.view.audio; Audio View; Audiovisning; {alfresco/messages/slingshot.properties}button.view.audio;;;
button.view.detailed; Detailed View; Detaljeret visning; {alfresco/messages/slingshot.properties}button.view.detailed;;;
button.view.dublinCore; Dublin Core View; Dublin Core Visning; {alfresco/messages/slingshot.properties}button.view.dublinCore;;;
button.view.effectivity; Effectivity View; Effektivitets visning; {alfresco/messages/slingshot.properties}button.view.effectivity;;;
button.view.email; Email View; Emailvisning; {alfresco/messages/slingshot.properties}button.view.email;;;
button.view.filmstrip; Filmstrip View; Filmstribevisning; {alfresco/messages/slingshot.properties}button.view.filmstrip;;;
button.view.gallery; Gallery View; Gallerivisning; {alfresco/messages/slingshot.properties}button.view.gallery;;;
button.view.media-table; Media View; Mediavisning; {alfresco/messages/slingshot.properties}button.view.media-table;;;
button.view.simple; Simple View; Simpel visning; {alfresco/messages/slingshot.properties}button.view.simple;;;
button.view.table; Table View; Tabelvisning; {alfresco/messages/slingshot.properties}button.view.table;;;
button.viewWorkflowDiagram; View Process Diagram; Vis procesdiagram; {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}button.viewWorkflowDiagram;;;
button.week; Week; Uge; {alfresco/site-webscripts/org/alfresco/components/calendar/toolbar.get.properties}button.week;;;
button.work-hours.all; Show all hours; Vis alle timer; {alfresco/site-webscripts/org/alfresco/components/calendar/toolbar.get.properties}button.work-hours.all;;;
button.work-hours.working; Show working hours; Vis kontortid; {alfresco/site-webscripts/org/alfresco/components/calendar/toolbar.get.properties}button.work-hours.working;;;
button.zoomin; Zoom in; Zoom ind; {alfresco/site-webscripts/org/alfresco/modules/preview/pdfjs.get.properties}button.zoomin;;;
button.zoomout; Zoom out; Zoom ud; {alfresco/site-webscripts/org/alfresco/modules/preview/pdfjs.get.properties}button.zoomout;;;
calendar.site-does-not-exist; Requested site does not exist or you don't have permissions to access it.;Sitet findes ikke eller også har du ikke de nødvendige rettigheder til at tilgå det; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}calendar.site-does-not-exist;;;
calendar.site-does-not-exist-title; Site ''{0}'' does not exist or you don't have permissions to access it.;Sitet ''{0}'' findes ikke eller også har du ikke de nødvendige rettigheder til at tilgå det; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}calendar.site-does-not-exist-title;;;
calendar.widget_config.my_label_month_position;1;1; {alfresco/messages/slingshot.properties}calendar.widget_config.my_label_month_position;;;
calendar.widget_config.my_label_month_suffix; ; ; {alfresco/messages/slingshot.properties}calendar.widget_config.my_label_month_suffix;;;
calendar.widget_config.my_label_year_position;2;2; {alfresco/messages/slingshot.properties}calendar.widget_config.my_label_year_position;;;
calendar.widget_config.my_label_year_suffix; ; ; {alfresco/messages/slingshot.properties}calendar.widget_config.my_label_year_suffix;;;
calendar.widget_config.start_weekday;1;1; {alfresco/messages/slingshot.properties}calendar.widget_config.start_weekday;;;
calendar.widget_control_config.label_invalid_year; Please enter a valid year;Indtast venligst et gyldigt årstal; {alfresco/messages/slingshot.properties}calendar.widget_control_config.label_invalid_year;;;
calendar.widget_control_config.label_month; Choose Month;Vælg måned; {alfresco/messages/slingshot.properties}calendar.widget_control_config.label_month;;;
calendar.widget_control_config.label_year; Enter Year;Indtast årstal; {alfresco/messages/slingshot.properties}calendar.widget_control_config.label_year;;;
change_password.label; Change Password; \u00c6ndre adgangskode; {alfresco/site-webscripts/org/alfresco/share/imports/share-header.lib.properties}change_password.label;;;
checkbox.check; Check; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}checkbox.check;;;
checkbox.check; Check; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}checkbox.check;;;
checkbox.check; Check; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}checkbox.check;;;
checkbox.check; Check; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}checkbox.check;;;
checkbox.uncheck; Uncheck; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}checkbox.uncheck;;;
checkbox.uncheck; Uncheck; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}checkbox.uncheck;;;
checkbox.uncheck; Uncheck; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}checkbox.uncheck;;;
checkbox.uncheck; Uncheck; ; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}checkbox.uncheck;;;
chose; Choose from popular tags in this site; V\u00e6lg fra popul\u00e6re tags i dette site; {alfresco/site-webscripts/org/alfresco/components/links/linkedit.get.properties}chose;;;
cmm.button.activate; Activate;Aktivér; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.activate;;;
cmm.button.back-to-models; << Show Models;<< Vis modeller; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.back-to-models;;;
cmm.button.back-to-types-propertygroups; << Show Types and Aspects;<< Vis typer og aspekter; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.back-to-types-propertygroups;;;
cmm.button.cancel; Cancel;Annuller; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.cancel;;;
cmm.button.create; Create;Opret; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.create;;;
cmm.button.create-and-another; Create and Start Another; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.create-and-another;;;
cmm.button.deactivate; Deactivate; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.deactivate;;;
cmm.button.delete; Delete; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.delete;;;
cmm.button.edit; Edit; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.edit;;;
cmm.button.editor-clear-layout; Clear; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.editor-clear-layout;;;
cmm.button.editor-default-layout; Apply Default Layout; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.editor-default-layout;;;
cmm.button.editor-save-layout; Save; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.editor-save-layout;;;
cmm.button.export; Export; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.export;;;
cmm.button.find-instances; Find Where Used; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.find-instances;;;
cmm.button.form-editor; Layout Designer; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.form-editor;;;
cmm.button.import; Import; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.import;;;
cmm.button.save-changes; Save; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.button.save-changes;;;
cmm.cm_author; Author; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_author;;;
cmm.cm_categories; Categories; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_categories;;;
cmm.cm_created; Created Date; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_created;;;
cmm.cm_creator; Creator; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_creator;;;
cmm.cm_description; Description; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_description;;;
cmm.cm_mimetype; Mimetype; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_mimetype;;;
cmm.cm_modified; Modified Date; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_modified;;;
cmm.cm_modifier; Modifier; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_modifier;;;
cmm.cm_name; Name; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_name;;;
cmm.cm_size; Size; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_size;;;
cmm.cm_taggable; Taggable; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_taggable;;;
cmm.cm_title; Title; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.cm_title;;;
cmm.create-button.model; Create Model; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.create-button.model;;;
cmm.create-button.property; Create Property; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.create-button.property;;;
cmm.create-button.propertygroup; Create Aspect; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.create-button.propertygroup;;;
cmm.create-button.type; Create Custom Type; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.create-button.type;;;
cmm.form-editor.clear-button.cancel-label; Cancel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.clear-button.cancel-label;;;
cmm.form-editor.clear-button.confirm-label; Clear; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.clear-button.confirm-label;;;
cmm.form-editor.clear-message; Are you sure you want to clear the current layout?; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.clear-message;;;
cmm.form-editor.clear-title; Clear the Layout Designer; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.clear-title;;;
cmm.form-editor.default-layout-button.cancel-label; Cancel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.default-layout-button.cancel-label;;;
cmm.form-editor.default-layout-button.confirm-label; Apply; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.default-layout-button.confirm-label;;;
cmm.form-editor.default-layout-message; Are you sure you want to apply the default layout?; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.default-layout-message;;;
cmm.form-editor.default-layout-title; Apply the default layout; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.default-layout-title;;;
cmm.form-editor.message.help1; Step 1: Drag one or more layout elements onto the Layout Area.; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.message.help1;;;
cmm.form-editor.message.help2; Step 2: Drag one or more properties onto each layout element. Hover over an element or property icon; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.message.help2;;;
cmm.form-editor.message.help3; Step 3: Save your layout! You can always edit it later. Apply Default Layout adds all properties to ; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.message.help3;;;
cmm.form-editor.message.saved.success; Your layout was saved successfully; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.message.saved.success;;;
cmm.form-editor.palette.heading; Heading; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.heading;;;
cmm.form-editor.palette.heading.def; Add your heading here; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.heading.def;;;
cmm.form-editor.palette.heading.desc; Enter a heading; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.heading.desc;;;
cmm.form-editor.palette.one-column; single column panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.one-column;;;
cmm.form-editor.palette.text; Text; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.text;;;
cmm.form-editor.palette.text.def; Add your text here; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.text.def;;;
cmm.form-editor.palette.text.desc; Enter some text; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.text.desc;;;
cmm.form-editor.palette.three-column; triple column panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.three-column;;;
cmm.form-editor.palette.two-column; double column panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.two-column;;;
cmm.form-editor.palette.two-column-wide-left; wide left double column panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.palette.two-column-wide-left;;;
cmm.form-editor.properties.title; Edit Properties; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.properties.title;;;
cmm.form-editor.property.appearance; Appearance; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance;;;
cmm.form-editor.property.appearance.desc; Select the appearance of the panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance.desc;;;
cmm.form-editor.property.appearance.options.bordered-panel; Bordered panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance.options.bordered-panel;;;
cmm.form-editor.property.appearance.options.fieldset; Field set; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance.options.fieldset;;;
cmm.form-editor.property.appearance.options.panel; Panel; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance.options.panel;;;
cmm.form-editor.property.appearance.options.title; Title; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance.options.title;;;
cmm.form-editor.property.appearance.options.whitespace; Whitespace; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.appearance.options.whitespace;;;
cmm.form-editor.property.fixed-label; Label; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.fixed-label;;;
cmm.form-editor.property.fixed-name; Name; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.fixed-name;;;
cmm.form-editor.property.fixed-type; Type; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.fixed-type;;;
cmm.form-editor.property.for-mode; View mode; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.for-mode;;;
cmm.form-editor.property.for-mode.any; Any; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.for-mode.any;;;
cmm.form-editor.property.for-mode.desc; Select the applicable form view mode; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.for-mode.desc;;;
cmm.form-editor.property.for-mode.edit; Edit; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.for-mode.edit;;;
cmm.form-editor.property.for-mode.view; View; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.for-mode.view;;;
cmm.form-editor.property.force; Force display; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.force;;;
cmm.form-editor.property.force.desc; Should this be forced to be displayed?; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.force.desc;;;
cmm.form-editor.property.form-control; Form control; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.form-control;;;
cmm.form-editor.property.form-control.checkbox; Checkbox; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.form-control.checkbox;;;
cmm.form-editor.property.form-control.date; Date; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.form-control.date;;;
cmm.form-editor.property.form-control.datetime; Date time; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.form-control.datetime;;;
cmm.form-editor.property.form-control.default; Default; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.form-control.default;;;
cmm.form-editor.property.form-control.desc; Select the type of form control shown to the user; ; {alfresco/site-webscripts/org/alfresco/share/pages/admin-console/custom-model-manager.get.properties}cmm.form-editor.property.form-control.desc;;;
